,test_suite,Unnamed: 1,time,stop_reasons,success,lemma_count,proofs_later_filtered,case_split_root_count,case_split_had_vacuity,total_allocated,max_allocated,file_name,relative_path,total_enodes,error
0,isaplanner,0.0,0.026170462,[],1.0,0.0,0.0,0.0,0.0,28081577.0,788790.0,goal77.stats.json,isaplanner/goal77.th,292.0,
1,isaplanner,1.0,0.024601242,[],1.0,0.0,0.0,0.0,0.0,31684329.0,752243.0,goal61.stats.json,isaplanner/goal61.th,392.0,
2,isaplanner,2.0,0.030871959,[],1.0,0.0,0.0,0.0,0.0,29653242.0,1057837.0,goal60.stats.json,isaplanner/goal60.th,255.0,
3,isaplanner,3.0,0.003419382,[],0.0,0.0,0.0,0.0,0.0,6094271.0,434796.0,goal35.stats.json,isaplanner/goal35.th,60.0,
4,isaplanner,4.0,0.152692729,[],1.0,0.0,0.0,0.0,0.0,194600856.0,2375483.0,goal28.stats.json,isaplanner/goal28.th,563.0,
5,isaplanner,5.0,0.5621694380000001,[],0.0,0.0,0.0,0.0,0.0,686880466.0,9676792.0,goal44.stats.json,isaplanner/goal44.th,932.0,
6,isaplanner,6.0,0.064683228,[],1.0,0.0,0.0,0.0,0.0,40038407.0,895470.0,goal38.stats.json,isaplanner/goal38.th,332.0,
7,isaplanner,7.0,0.003885321,[],0.0,0.0,0.0,0.0,0.0,6252810.0,436424.0,goal36.stats.json,isaplanner/goal36.th,61.0,
8,isaplanner,8.0,0.092680714,[],1.0,0.0,0.0,0.0,0.0,69529633.0,1444299.0,goal14.stats.json,isaplanner/goal14.th,571.0,
9,isaplanner,9.0,0.312465298,[],1.0,0.0,0.0,0.0,0.0,227817000.0,4178290.0,goal4.stats.json,isaplanner/goal4.th,1269.0,
10,isaplanner,10.0,0.192992271,[],1.0,0.0,0.0,0.0,0.0,167977972.0,2413034.0,goal2.stats.json,isaplanner/goal2.th,716.0,
11,isaplanner,11.0,0.116268101,[],1.0,0.0,0.0,0.0,0.0,126257260.0,1091371.0,goal45.stats.json,isaplanner/goal45.th,411.0,
12,isaplanner,12.0,0.075083751,[],0.0,0.0,0.0,0.0,0.0,37247939.0,830950.0,goal52.stats.json,isaplanner/goal52.th,305.0,
13,isaplanner,13.0,0.006762284,[],0.0,0.0,0.0,0.0,0.0,8427893.0,462308.0,goal26.stats.json,isaplanner/goal26.th,115.0,
14,isaplanner,14.0,0.0023012,[],0.0,0.0,0.0,0.0,0.0,5753477.0,433125.0,goal75.stats.json,isaplanner/goal75.th,109.0,
15,isaplanner,15.0,0.425441569,[],1.0,0.0,0.0,0.0,0.0,356376009.0,8460359.0,goal48.stats.json,isaplanner/goal48.th,536.0,
16,isaplanner,16.0,4.38025645,[],1.0,0.0,0.0,0.0,0.0,4009831155.0,59814764.0,goal46.stats.json,isaplanner/goal46.th,15689.0,
17,isaplanner,17.0,0.046872375,[],1.0,0.0,0.0,0.0,0.0,48863094.0,1282002.0,goal29.stats.json,isaplanner/goal29.th,236.0,
18,isaplanner,18.0,0.314210975,[],1.0,0.0,0.0,0.0,0.0,402603317.0,3388768.0,goal27.stats.json,isaplanner/goal27.th,800.0,
19,isaplanner,19.0,0.009027279,[],1.0,0.0,0.0,0.0,0.0,10955686.0,557617.0,goal65.stats.json,isaplanner/goal65.th,176.0,
20,isaplanner,20.0,0.006727264,[],1.0,0.0,0.0,0.0,0.0,9156773.0,438017.0,goal37.stats.json,isaplanner/goal37.th,114.0,
21,hipspec-nichomachus,0.0,0.002725966,[],0.0,0.0,0.0,0.0,0.0,5269713.0,445169.0,nichomachus-goal4.stats.json,hipspec-nichomachus/nichomachus-goal4.th,42.0,
22,hipspec-nichomachus,1.0,0.003604779,[],0.0,0.0,0.0,0.0,0.0,6193823.0,444945.0,nichomachus-goal8.stats.json,hipspec-nichomachus/nichomachus-goal8.th,107.0,
23,hipspec-nichomachus,2.0,0.003875115,[],0.0,0.0,0.0,0.0,0.0,5612753.0,445555.0,nichomachus-goal6.stats.json,hipspec-nichomachus/nichomachus-goal6.th,51.0,
24,hipspec-nichomachus,3.0,0.004241255,[],0.0,0.0,0.0,0.0,0.0,5756951.0,445169.0,nichomachus-goal2.stats.json,hipspec-nichomachus/nichomachus-goal2.th,59.0,
25,hipspec-nichomachus,4.0,0.001882634,[],0.0,0.0,0.0,0.0,0.0,5106303.0,445169.0,nichomachus-goal5.stats.json,hipspec-nichomachus/nichomachus-goal5.th,42.0,
26,hipspec-nichomachus,5.0,0.002095801,[],0.0,0.0,0.0,0.0,0.0,5221499.0,444194.0,nichomachus-goal9.stats.json,hipspec-nichomachus/nichomachus-goal9.th,53.0,
27,hipspec-nichomachus,6.0,0.00299731,[],0.0,0.0,0.0,0.0,0.0,5392305.0,445421.0,nichomachus-goal7.stats.json,hipspec-nichomachus/nichomachus-goal7.th,49.0,
28,hipspec-nichomachus,7.0,0.002090665,[],0.0,0.0,0.0,0.0,0.0,5083797.0,444333.0,nichomachus-goal1.stats.json,hipspec-nichomachus/nichomachus-goal1.th,41.0,
29,hipspec-nichomachus,8.0,0.00183902,[],0.0,0.0,0.0,0.0,0.0,5083829.0,444333.0,nichomachus-goal3.stats.json,hipspec-nichomachus/nichomachus-goal3.th,41.0,
30,clam,0.0,0.066312577,[],0.0,0.0,0.0,0.0,0.0,26694458.0,687452.0,goal50.stats.json,clam/goal50.th,228.0,
31,clam,1.0,0.003192426,[],1.0,0.0,0.0,0.0,0.0,5972222.0,429513.0,goal72.stats.json,clam/goal72.th,139.0,
32,clam,2.0,0.168390054,[],0.0,0.0,0.0,0.0,0.0,205603050.0,2329704.0,goal13.stats.json,clam/goal13.th,1043.0,
33,clam,3.0,0.002868983,[],0.0,0.0,0.0,0.0,0.0,5660369.0,441030.0,goal77.stats.json,clam/goal77.th,116.0,
34,clam,4.0,0.003395247,[],1.0,0.0,0.0,0.0,0.0,6087962.0,429851.0,goal61.stats.json,clam/goal61.th,138.0,
35,clam,5.0,0.003785935,[],1.0,0.0,0.0,0.0,0.0,6401075.0,434642.0,goal60.stats.json,clam/goal60.th,150.0,
36,clam,6.0,0.002877179,[],0.0,0.0,0.0,0.0,0.0,5662217.0,441257.0,goal81.stats.json,clam/goal81.th,117.0,
37,clam,7.0,0.003384602,[],1.0,0.0,0.0,0.0,0.0,6051215.0,432050.0,goal53.stats.json,clam/goal53.th,146.0,
38,clam,8.0,0.00629115,[],0.0,0.0,0.0,0.0,0.0,6834492.0,442956.0,goal64.stats.json,clam/goal64.th,151.0,
39,clam,9.0,0.00290933,[],0.0,0.0,0.0,0.0,0.0,5664818.0,438186.0,goal23.stats.json,clam/goal23.th,130.0,
40,clam,10.0,0.003186505,[],0.0,0.0,0.0,0.0,0.0,5930388.0,433110.0,goal30.stats.json,clam/goal30.th,134.0,
41,clam,11.0,0.003622333,[],0.0,0.0,0.0,0.0,0.0,5945168.0,441862.0,goal35.stats.json,clam/goal35.th,83.0,
42,clam,12.0,0.00454039,[],0.0,0.0,0.0,0.0,0.0,6069839.0,434993.0,goal85.stats.json,clam/goal85.th,83.0,
43,clam,13.0,0.003173579,[],0.0,0.0,0.0,0.0,0.0,5994291.0,477205.0,goal28.stats.json,clam/goal28.th,129.0,
44,clam,14.0,0.003109747,[],0.0,0.0,0.0,0.0,0.0,5920377.0,440706.0,goal31.stats.json,clam/goal31.th,133.0,
45,clam,15.0,0.00474817,[],0.0,0.0,0.0,0.0,0.0,6598307.0,440949.0,goal12.stats.json,clam/goal12.th,143.0,
46,clam,16.0,0.486068212,[],1.0,0.0,0.0,0.0,0.0,504307581.0,5237578.0,goal38.stats.json,clam/goal38.th,696.0,
47,clam,17.0,0.004184705,[],0.0,0.0,0.0,0.0,0.0,6107690.0,462302.0,goal36.stats.json,clam/goal36.th,120.0,
48,clam,18.0,0.004604333,[],0.0,0.0,0.0,0.0,0.0,6169136.0,442219.0,goal86.stats.json,clam/goal86.th,83.0,
49,clam,19.0,0.002820339,[],0.0,0.0,0.0,0.0,0.0,5608851.0,433806.0,goal19.stats.json,clam/goal19.th,119.0,
50,clam,20.0,0.002521315,[],0.0,0.0,0.0,0.0,0.0,5413042.0,451405.0,goal14.stats.json,clam/goal14.th,46.0,
51,clam,21.0,0.003050472,[],0.0,0.0,0.0,0.0,0.0,5774157.0,465977.0,goal42.stats.json,clam/goal42.th,46.0,
52,clam,22.0,0.002623124,[],0.0,0.0,0.0,0.0,0.0,5583316.0,431003.0,goal16.stats.json,clam/goal16.th,98.0,
53,clam,23.0,0.002455998,[],0.0,0.0,0.0,0.0,0.0,5391760.0,435012.0,goal66.stats.json,clam/goal66.th,90.0,
54,clam,24.0,0.003506719,[],0.0,0.0,0.0,0.0,0.0,5836730.0,434465.0,goal34.stats.json,clam/goal34.th,81.0,
55,clam,25.0,0.003419984,[],0.0,0.0,0.0,0.0,0.0,6125839.0,437106.0,goal4.stats.json,clam/goal4.th,152.0,
56,clam,26.0,0.002811863,[],0.0,0.0,0.0,0.0,0.0,5586963.0,431944.0,goal2.stats.json,clam/goal2.th,124.0,
57,clam,27.0,162.305748779,[],1.0,0.0,0.0,0.0,0.0,114195139265.0,709436787.0,goal45.stats.json,clam/goal45.th,9706.0,
58,clam,28.0,0.003425043,[],1.0,0.0,0.0,0.0,0.0,6076218.0,432600.0,goal52.stats.json,clam/goal52.th,146.0,
59,clam,29.0,0.155832175,[],1.0,0.0,0.0,0.0,0.0,181610181.0,746463.0,goal54.stats.json,clam/goal54.th,149.0,
60,clam,30.0,0.005063257,[],0.0,0.0,0.0,0.0,0.0,6892806.0,430600.0,goal26.stats.json,clam/goal26.th,161.0,
61,clam,31.0,0.004373178,[],1.0,0.0,0.0,0.0,0.0,6653705.0,513353.0,goal25.stats.json,clam/goal25.th,200.0,
62,clam,32.0,0.002322852,[],0.0,0.0,0.0,0.0,0.0,5294102.0,430062.0,goal24.stats.json,clam/goal24.th,82.0,
